Value,Disaggregation combinations using this value,Number of indicators
Abla,5,4
Abrucena,5,4
Adamuz,5,4
Adra,5,4
Agrón,5,4
Aguadulce,5,4
Aguilar de la Frontera,5,4
Alameda,5,4
Alamedilla,5,4
Alanís,5,4
Albaida del Aljarafe,5,4
Albanchez de Mágina,5,4
Albanchez,5,4
Alboloduy,5,4
Albolote,5,4
Albondón,5,4
Albox,5,4
Albuñol,5,4
Albuñuelas,5,4
Albuñán,5,4
Alcalá de Guadaíra,5,4
Alcalá de los Gazules,5,4
Alcalá del Río,5,4
Alcalá del Valle,5,4
Alcalá la Real,5,4
Alcaracejos,5,4
Alcaucín,5,4
Alcaudete,5,4
Alcolea del Río,5,4
Alcolea,5,4
Alcudia de Monteagud,5,4
Alcóntar,5,4
Aldeaquemada,5,4
Aldeire,5,4
Alfacar,5,4
Alfarnate,5,4
Alfarnatejo,5,4
Algaba (La),3,3
"Algaba, La",2,1
Algar,5,4
Algarinejo,5,4
Algarrobo,5,4
Algatocín,5,4
Algeciras,5,4
Algodonales,5,4
Algámitas,5,4
Alhabia,5,4
Alhama de Almería,5,4
Alhama de Granada,5,4
Alhaurín de la Torre,5,4
Alhaurín el Grande,5,4
Alhendín,5,4
Alicún de Ortega,5,4
Alicún,5,4
Aljaraque,5,4
Almadén de la Plata,5,4
Almargen,5,4
Almedinilla,5,4
Almegíjar,5,4
Almendro (El),3,3
"Almendro, El",2,1
Almensilla,5,4
Almería,5,4
Almodóvar del Río,5,4
Almogía,5,4
Almonaster la Real,5,4
Almonte,5,4
Almuñécar,5,4
Almáchar,5,4
Almócita,5,4
Alosno,5,4
Alozaina,5,4
Alpandeire,5,4
Alpujarra de la Sierra,5,4
Alquife,5,4
Alsodux,5,4
Alájar,5,4
Andújar,5,4
Antas,5,4
Antequera,5,4
Aracena,5,4
Arahal,5,4
Arboleas,5,4
Archidona,5,4
Arcos de la Frontera,5,4
Ardales,5,4
Arenas del Rey,5,4
Arenas,5,4
Arjona,5,4
Arjonilla,5,4
Armilla,5,4
Armuña de Almanzora,5,4
Aroche,5,4
Arquillos,5,4
Arriate,5,4
Arroyo del Ojanco,5,4
Arroyomolinos de León,5,4
Atajate,5,4
Atarfe,5,4
Ayamonte,5,4
Aznalcázar,5,4
Aznalcóllar,5,4
Añora,5,4
Bacares,5,4
Badolatosa,5,4
Baena,5,4
Baeza,5,4
Bailén,5,4
Balanegra,5,4
Barbate,5,4
Barrios (Los),3,3
"Barrios, Los",2,1
Bayarque,5,4
Bayárcal,5,4
Baza,5,4
Baños de la Encina,5,4
Beas de Granada,5,4
Beas de Guadix,5,4
Beas de Segura,5,4
Beas,5,4
Bedmar y Garcíez,5,4
Begíjar,5,4
Beires,5,4
Belalcázar,5,4
Belmez,5,4
Benacazón,5,4
Benadalid,5,4
Benahadux,5,4
Benahavís,5,4
Benalauría,5,4
Benalmádena,5,4
Benalup-Casas Viejas,5,4
Benalúa de las Villas,5,4
Benalúa,5,4
Benamargosa,5,4
Benamaurel,5,4
Benamejí,5,4
Benamocarra,5,4
Benaocaz,5,4
Benaoján,5,4
Benarrabá,5,4
Benatae,5,4
Benitagla,5,4
Benizalón,5,4
Bentarique,5,4
Berja,5,4
Berrocal,5,4
Blázquez (Los),3,3
"Blázquez, Los",2,1
Bollullos de la Mitación,5,4
Bollullos Par del Condado,5,4
Bonares,5,4
Borge (El),3,3
"Borge, El",2,1
Bormujos,5,4
Bornos,5,4
Bosque (El),3,3
"Bosque, El",2,1
Brenes,5,4
Bubión,5,4
Bujalance,5,4
Burgo (El),3,3
"Burgo, El",2,1
Burguillos,5,4
Busquístar,5,4
Bédar,5,4
Bélmez de la Moraleda,5,4
Bérchules,5,4
Cabezas de San Juan (Las),3,3
"Cabezas de San Juan, Las",2,1
Cabezas Rubias,5,4
Cabra del Santo Cristo,5,4
Cabra,5,4
Cacín,5,4
Cala,5,4
Calahorra (La),3,3
"Calahorra, La",2,1
Calañas,5,4
Calicasas,5,4
Camas,5,4
Cambil,5,4
Campana (La),3,3
"Campana, La",2,1
Campillo de Arenas,5,4
Campillo (El),3,3
"Campillo, El",2,1
Campillos,5,4
Campofrío,5,4
Campotéjar,5,4
Canena,5,4
Caniles,5,4
Canillas de Aceituno,5,4
Canillas de Albaida,5,4
Canjáyar,5,4
Cantillana,5,4
Cantoria,5,4
Capileira,5,4
Carataunas,5,4
Carboneras,5,4
Carboneros,5,4
Carcabuey,5,4
Cardeña,5,4
Carlota (La),3,3
"Carlota, La",2,1
Carmona,5,4
Carolina (La),3,3
"Carolina, La",2,1
Carpio (El),3,3
"Carpio, El",2,1
Carratraca,5,4
Carrión de los Céspedes,5,4
Cartajima,5,4
Cartaya,5,4
Casabermeja,5,4
Casarabonela,5,4
Casares,5,4
Casariche,5,4
Castaño del Robledo,5,4
Castellar de la Frontera,5,4
Castellar,5,4
Castilblanco de los Arroyos,5,4
Castilleja de Guzmán,5,4
Castilleja de la Cuesta,5,4
Castilleja del Campo,5,4
Castillo de las Guardas (El),3,3
"Castillo de las Guardas, El",2,1
Castillo de Locubín,5,4
Castilléjar,5,4
Castril,5,4
Castro de Filabres,5,4
Castro del Río,5,4
Cazalilla,5,4
Cazalla de la Sierra,5,4
Cazorla,5,4
Cañada Rosal,5,4
Cañaveral de León,5,4
Cañete de las Torres,5,4
Cañete la Real,5,4
Cenes de la Vega,5,4
Cerro de Andévalo (El),3,3
"Cerro de Andévalo, El",2,1
Chauchina,5,4
Chercos,5,4
Chiclana de la Frontera,5,4
Chiclana de Segura,5,4
Chilluévar,5,4
Chimeneas,5,4
Chipiona,5,4
Chirivel,5,4
Chucena,5,4
Churriana de la Vega,5,4
Cijuela,5,4
Cogollos de Guadix,5,4
Cogollos de la Vega,5,4
Colmenar,5,4
Colomera,5,4
Comares,5,4
Conil de la Frontera,5,4
Conquista,5,4
Constantina,5,4
Coria del Río,5,4
Coripe,5,4
Coronil (El),3,3
"Coronil, El",2,1
Corrales (Los),3,3
"Corrales, Los",2,1
Corteconcepción,5,4
Cortegana,5,4
Cortelazor,5,4
Cortes de Baza,5,4
Cortes de la Frontera,5,4
Cortes y Graena,5,4
Coín,5,4
Cuervo de Sevilla (El),3,3
"Cuervo de Sevilla, El",2,1
Cuevas Bajas,5,4
Cuevas de San Marcos,5,4
Cuevas del Almanzora,5,4
Cuevas del Becerro,5,4
Cuevas del Campo,5,4
Cumbres de Enmedio,5,4
Cumbres de San Bartolomé,5,4
Cumbres Mayores,5,4
Cádiar,5,4
Cádiz,5,4
Cájar,5,4
Cárcheles,5,4
Cártama,5,4
Cástaras,5,4
Cáñar,5,4
Cóbdar,5,4
Cómpeta,5,4
Córdoba,5,4
Cúllar Vega,5,4
Cúllar,5,4
Cútar,5,4
Dalías,5,4
Darro,5,4
Dehesas de Guadix,5,4
