Value,Disaggregation combinations using this value,Number of indicators
Abla,4,4
Abrucena,4,4
Adamuz,4,4
Adra,4,4
Agrón,4,4
Aguadulce,4,4
Aguilar de la Frontera,4,4
Alájar,4,4
Alameda,4,4
Alamedilla,4,4
Alanís,4,4
Albaida del Aljarafe,4,4
Albanchez de Mágina,4,4
Albanchez,4,4
Alboloduy,4,4
Albolote,4,4
Albondón,4,4
Albox,4,4
Albuñán,4,4
Albuñol,4,4
Albuñuelas,4,4
Alcalá de Guadaíra,4,4
Alcalá de los Gazules,4,4
Alcalá del Río,4,4
Alcalá del Valle,4,4
Alcalá la Real,4,4
Alcaracejos,4,4
Alcaucín,4,4
Alcaudete,4,4
Alcolea del Río,4,4
Alcolea,4,4
Alcóntar,4,4
Alcudia de Monteagud,4,4
Aldeaquemada,4,4
Aldeire,4,4
Alfacar,4,4
Alfarnate,4,4
Alfarnatejo,4,4
"Algaba, La",4,4
Algámitas,4,4
Algar,4,4
Algarinejo,4,4
Algarrobo,4,4
Algatocín,4,4
Algeciras,4,4
Algodonales,4,4
Alhabia,4,4
Alhama de Almería,4,4
Alhama de Granada,4,4
Alhaurín de la Torre,4,4
Alhaurín el Grande,4,4
Alhendín,4,4
Alicún de Ortega,4,4
Alicún,4,4
Aljaraque,4,4
Almáchar,4,4
Almadén de la Plata,4,4
Almargen,4,4
Almedinilla,4,4
Almegíjar,4,4
"Almendro, El",4,4
Almensilla,4,4
Almería,4,4
Almócita,4,4
Almodóvar del Río,4,4
Almogía,4,4
Almonaster la Real,4,4
Almonte,4,4
Almuñécar,4,4
Álora,4,4
Alosno,4,4
Alozaina,4,4
Alpandeire,4,4
Alpujarra de la Sierra,4,4
Alquife,4,4
Alsodux,4,4
Andújar,4,4
Añora,4,4
Antas,4,4
Antequera,4,4
Aracena,4,4
Arahal,4,4
Arboleas,4,4
Árchez,4,4
Archidona,4,4
Arcos de la Frontera,4,4
Ardales,4,4
Arenas del Rey,4,4
Arenas,4,4
Arjona,4,4
Arjonilla,4,4
Armilla,4,4
Armuña de Almanzora,4,4
Aroche,4,4
Arquillos,4,4
Arriate,4,4
Arroyo del Ojanco,4,4
Arroyomolinos de León,4,4
Atajate,4,4
Atarfe,4,4
Ayamonte,4,4
Aznalcázar,4,4
Aznalcóllar,4,4
Bacares,4,4
Badolatosa,4,4
Baena,4,4
Baeza,4,4
Bailén,4,4
Balanegra,4,4
Baños de la Encina,4,4
Barbate,4,4
"Barrios, Los",4,4
Bayárcal,4,4
Bayarque,4,4
Baza,4,4
Beas de Granada,4,4
Beas de Guadix,4,4
Beas de Segura,4,4
Beas,4,4
Bédar,4,4
Bedmar y Garcíez,4,4
Begíjar,4,4
Beires,4,4
Belalcázar,4,4
Bélmez de la Moraleda,4,4
Belmez,4,4
Benacazón,4,4
Benadalid,4,4
Benahadux,4,4
Benahavís,4,4
Benalauría,4,4
Benalmádena,4,4
Benalúa de las Villas,4,4
Benalúa,4,4
Benalup-Casas Viejas,4,4
Benamargosa,4,4
Benamaurel,4,4
Benamejí,4,4
Benamocarra,4,4
Benaocaz,4,4
Benaoján,4,4
Benarrabá,4,4
Benatae,4,4
Benitagla,4,4
Benizalón,4,4
Bentarique,4,4
Bérchules,4,4
Berja,4,4
Berrocal,4,4
"Blázquez, Los",4,4
Bollullos de la Mitación,4,4
Bollullos Par del Condado,4,4
Bonares,4,4
"Borge, El",4,4
Bormujos,4,4
Bornos,4,4
"Bosque, El",4,4
Brenes,4,4
Bubión,4,4
Bujalance,4,4
"Burgo, El",4,4
Burguillos,4,4
Busquístar,4,4
"Cabezas de San Juan, Las",4,4
Cabezas Rubias,4,4
Cabra del Santo Cristo,4,4
Cabra,4,4
Cacín,4,4
Cádiar,4,4
Cádiz,4,4
Cájar,4,4
Cala,4,4
"Calahorra, La",4,4
Calañas,4,4
Calicasas,4,4
Camas,4,4
Cambil,4,4
"Campana, La",4,4
Campillo de Arenas,4,4
"Campillo, El",4,4
Campillos,4,4
Campofrío,4,4
Campotéjar,4,4
Cañada Rosal,4,4
Cáñar,4,4
Cañaveral de León,4,4
Canena,4,4
Cañete de las Torres,4,4
Cañete la Real,4,4
Caniles,4,4
Canillas de Aceituno,4,4
Canillas de Albaida,4,4
Canjáyar,4,4
Cantillana,4,4
Cantoria,4,4
Capileira,4,4
Carataunas,4,4
Carboneras,4,4
Carboneros,4,4
Carcabuey,4,4
Cárcheles,4,4
Cardeña,4,4
"Carlota, La",4,4
Carmona,4,4
"Carolina, La",4,4
"Carpio, El",4,4
Carratraca,4,4
Carrión de los Céspedes,4,4
Cartajima,4,4
Cártama,4,4
Cartaya,4,4
Casabermeja,4,4
Casarabonela,4,4
Casares,4,4
Casariche,4,4
Castaño del Robledo,4,4
Cástaras,4,4
Castellar de la Frontera,4,4
Castellar,4,4
Castilblanco de los Arroyos,4,4
Castilleja de Guzmán,4,4
Castilleja de la Cuesta,4,4
Castilleja del Campo,4,4
Castilléjar,4,4
"Castillo de las Guardas, El",4,4
Castillo de Locubín,4,4
Castril,4,4
Castro de Filabres,4,4
Castro del Río,4,4
Cazalilla,4,4
Cazalla de la Sierra,4,4
Cazorla,4,4
Cenes de la Vega,4,4
"Cerro de Andévalo, El",4,4
Chauchina,4,4
Chercos,4,4
Chiclana de la Frontera,4,4
Chiclana de Segura,4,4
Chilluévar,4,4
Chimeneas,4,4
Chipiona,4,4
Chirivel,4,4
Chucena,4,4
Churriana de la Vega,4,4
Cijuela,4,4
Cóbdar,4,4
Cogollos de Guadix,4,4
Cogollos de la Vega,4,4
Coín,4,4
Colmenar,4,4
Colomera,4,4
Comares,4,4
Cómpeta,4,4
Conil de la Frontera,4,4
Conquista,4,4
Constantina,4,4
Córdoba,4,4
Coria del Río,4,4
Coripe,4,4
