"Year","Units","Grado urbanización","Municipio","Nacionalidad","GeoCode","Value"
2020,"Indicador 1","Ciudades",,"UE15",,1.77
2020,"Indicador 1","Zona de densidad intermedia",,"UE15",,2.15
2020,"Indicador 1","Zona rural",,"UE15",,3.83
2020,"Indicador 1",,,"UE15",,2.16
2020,"Indicador 1","Ciudades",,"Magreb",,1.53
2020,"Indicador 1","Zona de densidad intermedia",,"Magreb",,2.46
2020,"Indicador 1","Zona rural",,"Magreb",,1.51
2020,"Indicador 1",,,"Magreb",,1.9
2020,"Indicador 1","Ciudades",,"América del Sur",,1.33
2020,"Indicador 1","Zona de densidad intermedia",,"América del Sur",,1.05
2020,"Indicador 1","Zona rural",,"América del Sur",,0.55
2020,"Indicador 1",,,"América del Sur",,1.13
2020,"Indicador 1","Ciudades",,"Otras",,2.76
2020,"Indicador 1","Zona de densidad intermedia",,"Otras",,3.76
2020,"Indicador 1","Zona rural",,"Otras",,2.31
2020,"Indicador 1",,,"Otras",,3.11
2020,"Indicador 1","Zona rural","Abla","UE15","A04001",0.16
2020,"Indicador 1","Zona rural","Abrucena","UE15","A04002",0.17
2020,"Indicador 1","Zona de densidad intermedia","Adra","UE15","A04003",0.43
2020,"Indicador 1","Zona rural","Albanchez","UE15","A04004",32.9
2020,"Indicador 1","Zona rural","Alboloduy","UE15","A04005",0.33
2020,"Indicador 1","Zona de densidad intermedia","Albox","UE15","A04006",12.48
2020,"Indicador 1","Zona rural","Alcolea","UE15","A04007",0.83
2020,"Indicador 1","Zona rural","Alcóntar","UE15","A04008",3.31
2020,"Indicador 1","Zona rural","Alcudia de Monteagud","UE15","A04009",7.97
2020,"Indicador 1","Zona rural","Alhabia","UE15","A04010",1.18
2020,"Indicador 1","Zona rural","Alhama de Almería","UE15","A04011",0.84
2020,"Indicador 1","Zona rural","Alicún","UE15","A04012",1
2020,"Indicador 1","Ciudades","Almería","UE15","A04013",0.6
2020,"Indicador 1","Zona rural","Almócita","UE15","A04014",2.84
2020,"Indicador 1","Zona rural","Alsodux","UE15","A04015",4
2020,"Indicador 1","Zona rural","Antas","UE15","A04016",6.24
2020,"Indicador 1","Zona rural","Arboleas","UE15","A04017",62.2
2020,"Indicador 1","Zona rural","Armuña de Almanzora","UE15","A04018",3.67
2020,"Indicador 1","Zona rural","Bacares","UE15","A04019",0.4
2020,"Indicador 1","Zona rural","Bayárcal","UE15","A04020",0
2020,"Indicador 1","Zona rural","Bayarque","UE15","A04021",4.17
2020,"Indicador 1","Zona rural","Bédar","UE15","A04022",53.05
2020,"Indicador 1","Zona rural","Beires","UE15","A04023",0
2020,"Indicador 1","Zona de densidad intermedia","Benahadux","UE15","A04024",0.49
2020,"Indicador 1","Zona rural","Benitagla","UE15","A04026",0
2020,"Indicador 1","Zona rural","Benizalón","UE15","A04027",8.78
2020,"Indicador 1","Zona rural","Bentarique","UE15","A04028",2.08
2020,"Indicador 1","Zona de densidad intermedia","Berja","UE15","A04029",0.96
2020,"Indicador 1","Zona rural","Canjáyar","UE15","A04030",0.67
2020,"Indicador 1","Zona rural","Cantoria","UE15","A04031",19.55
2020,"Indicador 1","Zona de densidad intermedia","Carboneras","UE15","A04032",2.71
2020,"Indicador 1","Zona rural","Castro de Filabres","UE15","A04033",0
2020,"Indicador 1","Zona rural","Cóbdar","UE15","A04034",2.81
2020,"Indicador 1","Zona de densidad intermedia","Cuevas del Almanzora","UE15","A04035",5.52
2020,"Indicador 1","Zona rural","Chercos","UE15","A04036",5.7
2020,"Indicador 1","Zona rural","Chirivel","UE15","A04037",4.7
2020,"Indicador 1","Zona rural","Dalías","UE15","A04038",0.34
2020,"Indicador 1","Zona rural","Enix","UE15","A04041",16.54
2020,"Indicador 1","Zona rural","Felix","UE15","A04043",6.6
2020,"Indicador 1","Zona rural","Fines","UE15","A04044",0.52
2020,"Indicador 1","Zona rural","Fiñana","UE15","A04045",0.3
2020,"Indicador 1","Zona rural","Fondón","UE15","A04046",1.51
2020,"Indicador 1","Zona rural","Gádor","UE15","A04047",1.19
2020,"Indicador 1","Zona rural","Gallardos, Los","UE15","A04048",28.64
2020,"Indicador 1","Zona de densidad intermedia","Garrucha","UE15","A04049",2.41
