"Year","Grado urbanización","Municipio","GeoCode","Value"
2020,,,,8.29
2020,"Ciudades",,,7.39
2020,"Zona de densidad intermedia",,,9.42
2020,"Zona rural",,,8.2
2020,"Zona rural","Abla","04001",9.94
2020,"Zona rural","Abrucena","04002",8.28
2020,"Zona de densidad intermedia","Adra","04003",14.28
2020,"Zona rural","Albanchez","04004",34.06
2020,"Zona rural","Alboloduy","04005",3.78
2020,"Zona de densidad intermedia","Albox","04006",27.55
2020,"Zona rural","Alcolea","04007",2.61
2020,"Zona rural","Alcóntar","04008",7.59
2020,"Zona rural","Alcudia de Monteagud","04009",7.97
2020,"Zona rural","Alhabia","04010",3.4
2020,"Zona rural","Alhama de Almería","04011",9.1
2020,"Zona rural","Alicún","04012",1
2020,"Ciudades","Almería","04013",11.6
2020,"Zona rural","Almócita","04014",8.52
2020,"Zona rural","Alsodux","04015",6.4
2020,"Zona rural","Antas","04016",21.99
2020,"Zona rural","Arboleas","04017",66.98
2020,"Zona rural","Armuña de Almanzora","04018",5.67
2020,"Zona rural","Bacares","04019",2
2020,"Zona rural","Bayárcal","04020",3.21
2020,"Zona rural","Bayarque","04021",9.72
2020,"Zona rural","Bédar","04022",58.74
2020,"Zona rural","Beires","04023",0.83
2020,"Zona de densidad intermedia","Benahadux","04024",5.27
2020,"Zona rural","Benitagla","04026",1.72
2020,"Zona rural","Benizalón","04027",15.27
2020,"Zona rural","Bentarique","04028",2.5
2020,"Zona de densidad intermedia","Berja","04029",13.17
2020,"Zona rural","Canjáyar","04030",3.7
2020,"Zona rural","Cantoria","04031",23.57
2020,"Zona de densidad intermedia","Carboneras","04032",12.83
2020,"Zona rural","Castro de Filabres","04033",3.33
2020,"Zona rural","Cóbdar","04034",4.49
2020,"Zona de densidad intermedia","Cuevas del Almanzora","04035",26.66
2020,"Zona rural","Chercos","04036",8.39
2020,"Zona rural","Chirivel","04037",9.47
2020,"Zona rural","Dalías","04038",7.33
2020,"Zona rural","Enix","04041",22.76
2020,"Zona rural","Felix","04043",9.59
2020,"Zona rural","Fines","04044",12.88
2020,"Zona rural","Fiñana","04045",4.39
2020,"Zona rural","Fondón","04046",4.12
2020,"Zona rural","Gádor","04047",9.95
2020,"Zona rural","Gallardos, Los","04048",37.7
2020,"Zona de densidad intermedia","Garrucha","04049",24.26
2020,"Zona rural","Gérgal","04050",20.56
2020,"Zona rural","Huécija","04051",3.29
2020,"Ciudades","Huércal de Almería","04052",3.04
2020,"Zona de densidad intermedia","Huércal-Overa","04053",19.24
2020,"Zona rural","Íllar","04054",5.19
2020,"Zona rural","Instinción","04055",9.15
2020,"Zona rural","Laroya","04056",6.57
2020,"Zona rural","Láujar de Andarax","04057",2.95
2020,"Zona rural","Líjar","04058",5.33
2020,"Zona rural","Lubrín","04059",25.12
2020,"Zona rural","Lucainena de las Torres","04060",17.55
2020,"Zona rural","Lúcar","04061",7.5
2020,"Zona de densidad intermedia","Macael","04062",4.29
2020,"Zona rural","María","04063",5.85
2020,"Zona rural","Mojácar","04064",47.86
2020,"Zona rural","Nacimiento","04065",21.57
