"Year","Variable","Grado urbanización","Provincia","Municipio","GeoCode","Value"
2019,"Porcentaje de viviendas construidas después de 1980",,,"","",59.67
2019,"Porcentaje de viviendas construidas después de 1980","Ciudades",,"","",55.63
2019,"Porcentaje de viviendas construidas después de 1980","Zona de densidad intermedia",,"","",67.25
2019,"Porcentaje de viviendas construidas después de 1980","Zona rural",,"","",50.43
2019,"Porcentaje de viviendas construidas después de 1980","Zona rural","Almería","Abla","04001",40.48
2019,"Porcentaje de viviendas construidas después de 1980","Zona rural","Almería","Abrucena","04002",35.45
2019,"Porcentaje de viviendas construidas después de 1980","Zona de densidad intermedia","Almería","Adra","04003",62.86
2019,"Porcentaje de viviendas construidas después de 1980","Zona rural","Almería","Albanchez","04004",34.26
2019,"Porcentaje de viviendas construidas después de 1980","Zona rural","Almería","Alboloduy","04005",59.2
2019,"Porcentaje de viviendas construidas después de 1980","Zona de densidad intermedia","Almería","Albox","04006",63.36
2019,"Porcentaje de viviendas construidas después de 1980","Zona rural","Almería","Alcolea","04007",51.99
2019,"Porcentaje de viviendas construidas después de 1980","Zona rural","Almería","Alcóntar","04008",33.02
2019,"Porcentaje de viviendas construidas después de 1980","Zona rural","Almería","Alcudia de Monteagud","04009",18.58
2019,"Porcentaje de viviendas construidas después de 1980","Zona rural","Almería","Alhabia","04010",64.67
2019,"Porcentaje de viviendas construidas después de 1980","Zona rural","Almería","Alhama de Almería","04011",57.7
2019,"Porcentaje de viviendas construidas después de 1980","Zona rural","Almería","Alicún","04012",61.84
2019,"Porcentaje de viviendas construidas después de 1980","Ciudades","Almería","Almería","04013",53.37
2019,"Porcentaje de viviendas construidas después de 1980","Zona rural","Almería","Almócita","04014",66.93
2019,"Porcentaje de viviendas construidas después de 1980","Zona rural","Almería","Alsodux","04015",68.24
2019,"Porcentaje de viviendas construidas después de 1980","Zona rural","Almería","Antas","04016",64.51
2019,"Porcentaje de viviendas construidas después de 1980","Zona rural","Almería","Arboleas","04017",81.5
2019,"Porcentaje de viviendas construidas después de 1980","Zona rural","Almería","Armuña de Almanzora","04018",57.95
