"Year","Municipio","GeoCode","Value"
2001,,,"59.67"
2001,"Abla","04001","40.48"
2001,"Abrucena","04002","35.45"
2001,"Adra","04003","62.86"
2001,"Albanchez","04004","34.26"
2001,"Alboloduy","04005","59.2"
2001,"Albox","04006","63.36"
2001,"Alcolea","04007","51.99"
2001,"Alcóntar","04008","33.02"
2001,"Alcudia de Monteagud","04009","18.58"
2001,"Alhabia","04010","64.67"
2001,"Alhama de Almería","04011","57.7"
2001,"Alicún","04012","61.84"
2001,"Almería","04013","53.37"
2001,"Almócita","04014","66.93"
2001,"Alsodux","04015","68.24"
2001,"Antas","04016","64.51"
2001,"Arboleas","04017","81.5"
2001,"Armuña de Almanzora","04018","57.95"
2001,"Bacares","04019","30.77"
2001,"Bayárcal","04020","58.85"
2001,"Bayarque","04021","36.67"
2001,"Bédar","04022","65.19"
2001,"Beires","04023","57.24"
2001,"Benahadux","04024","70.24"
2001,"Benitagla","04026","16.07"
2001,"Benizalón","04027","25.51"
2001,"Bentarique","04028","43.35"
2001,"Berja","04029","56.71"
2001,"Canjáyar","04030","36.96"
2001,"Cantoria","04031","51.8"
2001,"Carboneras","04032","82.9"
2001,"Castro de Filabres","04033","28.57"
2001,"Cóbdar","04034","26.15"
2001,"Cuevas del Almanzora","04035","73.3"
2001,"Chercos","04036","41.22"
2001,"Chirivel","04037","47.75"
2001,"Dalías","04038","56.6"
2001,"Enix","04041","71.37"
2001,"Felix","04043","57.48"
2001,"Fines","04044","71.5"
2001,"Fiñana","04045","33.53"
2001,"Fondón","04046","86.99"
2001,"Gádor","04047","98.77"
2001,"Gallardos, Los","04048","74.8"
2001,"Garrucha","04049","95.32"
2001,"Gérgal","04050","35.86"
2001,"Huécija","04051","72.02"
2001,"Huércal de Almería","04052","85.18"
2001,"Huércal-Overa","04053","66.55"
2001,"Íllar","04054","48.75"
2001,"Instinción","04055","49.88"
2001,"Laroya","04056","21.12"
2001,"Láujar de Andarax","04057","47.43"
2001,"Líjar","04058","46.61"
2001,"Lubrín","04059","29.77"
2001,"Lucainena de las Torres","04060","36.18"
2001,"Lúcar","04061","45.6"
2001,"Macael","04062","57.8"
2001,"María","04063","35.61"
2001,"Mojácar","04064","88.31"
2001,"Nacimiento","04065","15.81"
2001,"Níjar","04066","85.08"
2001,"Ohanes","04067","44.21"
2001,"Olula de Castro","04068","14.87"
2001,"Olula del Río","04069","62.81"
2001,"Oria","04070","37.26"
2001,"Padules","04071","40.16"
2001,"Partaloa","04072","67.75"
2001,"Paterna del Río","04073","76.67"
2001,"Pechina","04074","78.98"
2001,"Pulpí","04075","81.23"
2001,"Purchena","04076","50.18"
2001,"Rágol","04077","27.6"
2001,"Rioja","04078","46.55"
2001,"Roquetas de Mar","04079","88.17"
2001,"Santa Cruz de Marchena","04080","54.71"
2001,"Santa Fe de Mondújar","04081","35.91"
2001,"Senés","04082","37.66"
2001,"Serón","04083","35.91"
2001,"Sierro","04084","30.63"
2001,"Somontín","04085","38.59"
2001,"Sorbas","04086","49.86"
2001,"Suflí","04087",38
2001,"Tabernas","04088","56.41"
2001,"Taberno","04089","51.62"
2001,"Tahal","04090","24.68"
2001,"Terque","04091","73.12"
2001,"Tíjola","04092","53.27"
2001,"Turre","04093","78.76"
2001,"Turrillas","04094","34.09"
2001,"Uleila del Campo","04095","35.6"
2001,"Urrácal","04096","44.55"
2001,"Velefique","04097","15.73"
2001,"Vélez-Blanco","04098","47.87"
2001,"Vélez-Rubio","04099","52.61"
2001,"Vera","04100","96.2"
2001,"Viator","04101","74.71"
2001,"Vícar","04102","88.11"
2001,"Zurgena","04103","64.79"
2001,"Tres Villas, Las","04901","24.24"
2001,"Ejido, El","04902","85.23"
2001,"Mojonera, La","04903","70.74"
2001,"Balanegra","04904","82.65"
2001,"Alcalá de los Gazules","11001","49.35"
2001,"Alcalá del Valle","11002","56.25"
2001,"Algar","11003","44.44"
2001,"Algeciras","11004","58.49"
2001,"Algodonales","11005","51.96"
2001,"Arcos de la Frontera","11006","60.79"
2001,"Barbate","11007","56.33"
2001,"Barrios, Los","11008","83.7"
2001,"Benaocaz","11009","78.81"
2001,"Bornos","11010","55.38"
2001,"Bosque, El","11011","66.71"
2001,"Cádiz","11012","37.88"
2001,"Castellar de la Frontera","11013","72.2"
2001,"Conil de la Frontera","11014","77.4"
2001,"Chiclana de la Frontera","11015","83.2"
2001,"Chipiona","11016","66.08"
2001,"Espera","11017","75.72"
2001,"Gastor, El","11018","53.5"
2001,"Grazalema","11019","61.5"
2001,"Jerez de la Frontera","11020","58.03"
2001,"Jimena de la Frontera","11021","50.64"
2001,"Línea de la Concepción, La","11022","55.56"
2001,"Medina Sidonia","11023","65.99"
2001,"Olvera","11024","49.13"
2001,"Paterna de Rivera","11025","71.21"
2001,"Prado del Rey","11026","61.3"
2001,"Puerto de Santa María, El","11027","67.44"
2001,"Puerto Real","11028","71.63"
2001,"Puerto Serrano","11029","68.22"
2001,"Rota","11030","69.9"
2001,"San Fernando","11031","59.04"
2001,"Sanlúcar de Barrameda","11032","66.08"
2001,"San Roque","11033","69.46"
2001,"Setenil de las Bodegas","11034","37.44"
2001,"Tarifa","11035","72.38"
2001,"Torre Alháquime","11036","54.06"
2001,"Trebujena","11037","59.61"
2001,"Ubrique","11038","50.6"
2001,"Vejer de la Frontera","11039","56.55"
2001,"Villaluenga del Rosario","11040","57.51"
2001,"Villamartín","11041","57.79"
2001,"Zahara","11042","60.48"
2001,"Benalup-Casas Viejas","11901","75.3"
2001,"San José del Valle","11902","50.92"
2001,"San Martín del Tesorillo","11903","48.63"
2001,"Adamuz","14001","47.07"
2001,"Aguilar de la Frontera","14002","57.77"
2001,"Alcaracejos","14003","54.59"
2001,"Almedinilla","14004","54.12"
2001,"Almodóvar del Río","14005","59.3"
2001,"Añora","14006","62.93"
2001,"Baena","14007","61.01"
2001,"Belalcázar","14008","21.14"
2001,"Belmez","14009","23.57"
2001,"Benamejí","14010","63.07"
2001,"Blázquez, Los","14011","28.23"
2001,"Bujalance","14012","42.23"
2001,"Cabra","14013","60.02"
2001,"Cañete de las Torres","14014","45.17"
2001,"Carcabuey","14015","66.13"
2001,"Cardeña","14016","49.24"
2001,"Carlota, La","14017","74.93"
2001,"Carpio, El","14018","42.98"
2001,"Castro del Río","14019","60.11"
2001,"Conquista","14020","54.84"
2001,"Córdoba","14021","49.35"
2001,"Doña Mencía","14022","59.78"
2001,"Dos Torres","14023","55.73"
2001,"Encinas Reales","14024","49.88"
2001,"Espejo","14025","48.55"
2001,"Espiel","14026","33.08"
2001,"Fernán-Núñez","14027","60.6"
2001,"Fuente la Lancha","14028","30.23"
2001,"Fuente Obejuna","14029","41.4"
2001,"Fuente Palmera","14030","70.1"
2001,"Fuente-Tójar","14031","43.21"
2001,"Granjuela, La","14032","38.58"
2001,"Guadalcázar","14033","65.47"
2001,"Guijo, El","14034","30.61"
2001,"Hinojosa del Duque","14035","35.4"
2001,"Hornachuelos","14036","50.1"
2001,"Iznájar","14037","43.33"
2001,"Lucena","14038","75.33"
2001,"Luque","14039","59.94"
2001,"Montalbán de Córdoba","14040","61.9"
2001,"Montemayor","14041","62.48"
2001,"Montilla","14042","58.97"
2001,"Montoro","14043","44.71"
2001,"Monturque","14044","72.36"
2001,"Moriles","14045","58.35"
2001,"Nueva Carteya","14046","60.94"
2001,"Obejo","14047","44.23"
2001,"Palenciana","14048","74.12"
2001,"Palma del Río","14049","58.31"
2001,"Pedro Abad","14050","49.84"
2001,"Pedroche","14051","37.79"
2001,"Peñarroya-Pueblonuevo","14052","22.08"
2001,"Posadas","14053","56.3"
2001,"Pozoblanco","14054","60.53"
2001,"Priego de Córdoba","14055","60.52"
2001,"Puente Genil","14056","58.6"
2001,"Rambla, La","14057","63.59"
2001,"Rute","14058","55.19"
2001,"San Sebastián de los Ballesteros","14059","64.03"
2001,"Santaella","14060","62.51"
2001,"Santa Eufemia","14061","48.62"
2001,"Torrecampo","14062","29.98"
2001,"Valenzuela","14063","49.47"
2001,"Valsequillo","14064","8.78"
2001,"Victoria, La","14065","68.03"
2001,"Villa del Río","14066","51.61"
2001,"Villafranca de Córdoba","14067","70.4"
2001,"Villaharta","14068","51.76"
2001,"Villanueva de Córdoba","14069",33
