"Year","Variable","Grado urbanización","Municipio","GeoCode","Value"
2019,"Porcentaje de viviendas construidas después de 1980","Ciudades","","",55.63
2019,"Porcentaje de viviendas construidas después de 1980","Zona de densidad intermedia","","",67.25
2019,"Porcentaje de viviendas construidas después de 1980","Zona rural","","",50.43
2019,"Porcentaje de viviendas construidas después de 1980","","","",59.67
2019,"Porcentaje de viviendas construidas después de 1980","Zona rural","Abla","04001",40.48
2019,"Porcentaje de viviendas construidas después de 1980","Zona rural","Abrucena","04002",35.45
2019,"Porcentaje de viviendas construidas después de 1980","Zona de densidad intermedia","Adra","04003",62.86
2019,"Porcentaje de viviendas construidas después de 1980","Zona rural","Albanchez","04004",34.26
2019,"Porcentaje de viviendas construidas después de 1980","Zona rural","Alboloduy","04005",59.2
2019,"Porcentaje de viviendas construidas después de 1980","Zona de densidad intermedia","Albox","04006",63.36
2019,"Porcentaje de viviendas construidas después de 1980","Zona rural","Alcolea","04007",51.99
2019,"Porcentaje de viviendas construidas después de 1980","Zona rural","Alcóntar","04008",33.02
2019,"Porcentaje de viviendas construidas después de 1980","Zona rural","Alcudia de Monteagud","04009",18.58
2019,"Porcentaje de viviendas construidas después de 1980","Zona rural","Alhabia","04010",64.67
2019,"Porcentaje de viviendas construidas después de 1980","Zona rural","Alhama de Almería","04011",57.7
2019,"Porcentaje de viviendas construidas después de 1980","Zona rural","Alicún","04012",61.84
2019,"Porcentaje de viviendas construidas después de 1980","Ciudades","Almería","04013",53.37
2019,"Porcentaje de viviendas construidas después de 1980","Zona rural","Almócita","04014",66.93
2019,"Porcentaje de viviendas construidas después de 1980","Zona rural","Alsodux","04015",68.24
2019,"Porcentaje de viviendas construidas después de 1980","Zona rural","Antas","04016",64.51
2019,"Porcentaje de viviendas construidas después de 1980","Zona rural","Arboleas","04017",81.5
2019,"Porcentaje de viviendas construidas después de 1980","Zona rural","Armuña de Almanzora","04018",57.95
2019,"Porcentaje de viviendas construidas después de 1980","Zona rural","Bacares","04019",30.77
2019,"Porcentaje de viviendas construidas después de 1980","Zona rural","Bayárcal","04020",58.85
2019,"Porcentaje de viviendas construidas después de 1980","Zona rural","Bayarque","04021",36.67
2019,"Porcentaje de viviendas construidas después de 1980","Zona rural","Bédar","04022",65.19
2019,"Porcentaje de viviendas construidas después de 1980","Zona rural","Beires","04023",57.24
2019,"Porcentaje de viviendas construidas después de 1980","Zona de densidad intermedia","Benahadux","04024",70.24
2019,"Porcentaje de viviendas construidas después de 1980","Zona rural","Benitagla","04026",16.07
2019,"Porcentaje de viviendas construidas después de 1980","Zona rural","Benizalón","04027",25.51
2019,"Porcentaje de viviendas construidas después de 1980","Zona rural","Bentarique","04028",43.35
2019,"Porcentaje de viviendas construidas después de 1980","Zona de densidad intermedia","Berja","04029",56.71
2019,"Porcentaje de viviendas construidas después de 1980","Zona rural","Canjáyar","04030",36.96
2019,"Porcentaje de viviendas construidas después de 1980","Zona rural","Cantoria","04031",51.8
2019,"Porcentaje de viviendas construidas después de 1980","Zona de densidad intermedia","Carboneras","04032",82.9
2019,"Porcentaje de viviendas construidas después de 1980","Zona rural","Castro de Filabres","04033",28.57
2019,"Porcentaje de viviendas construidas después de 1980","Zona rural","Cóbdar","04034",26.15
