Year,Grado urbanización,Municipio,GeoCode,Value
2020,,,,8.29
2020,Ciudades,,,7.39
2020,Zona de densidad intermedia,,,9.42
2020,Zona rural,,,8.2
2020,Zona rural,Abla,4001.0,9.94
2020,Zona rural,Abrucena,4002.0,8.28
2020,Zona de densidad intermedia,Adra,4003.0,14.28
2020,Zona rural,Albanchez,4004.0,34.06
2020,Zona rural,Alboloduy,4005.0,3.78
2020,Zona de densidad intermedia,Albox,4006.0,27.55
2020,Zona rural,Alcolea,4007.0,2.61
2020,Zona rural,Alcóntar,4008.0,7.59
2020,Zona rural,Alcudia de Monteagud,4009.0,7.97
2020,Zona rural,Alhabia,4010.0,3.4
2020,Zona rural,Alhama de Almería,4011.0,9.1
2020,Zona rural,Alicún,4012.0,1.0
2020,Ciudades,Almería,4013.0,11.6
2020,Zona rural,Almócita,4014.0,8.52
2020,Zona rural,Alsodux,4015.0,6.4
2020,Zona rural,Antas,4016.0,21.99
2020,Zona rural,Arboleas,4017.0,66.98
2020,Zona rural,Armuña de Almanzora,4018.0,5.67
2020,Zona rural,Bacares,4019.0,2.0
2020,Zona rural,Bayárcal,4020.0,3.21
2020,Zona rural,Bayarque,4021.0,9.72
2020,Zona rural,Bédar,4022.0,58.74
2020,Zona rural,Beires,4023.0,0.83
2020,Zona de densidad intermedia,Benahadux,4024.0,5.27
2020,Zona rural,Benitagla,4026.0,1.72
2020,Zona rural,Benizalón,4027.0,15.27
2020,Zona rural,Bentarique,4028.0,2.5
2020,Zona de densidad intermedia,Berja,4029.0,13.17
2020,Zona rural,Canjáyar,4030.0,3.7
2020,Zona rural,Cantoria,4031.0,23.57
2020,Zona de densidad intermedia,Carboneras,4032.0,12.83
2020,Zona rural,Castro de Filabres,4033.0,3.33
2020,Zona rural,Cóbdar,4034.0,4.49
2020,Zona de densidad intermedia,Cuevas del Almanzora,4035.0,26.66
2020,Zona rural,Chercos,4036.0,8.39
2020,Zona rural,Chirivel,4037.0,9.47
2020,Zona rural,Dalías,4038.0,7.33
2020,Zona rural,Enix,4041.0,22.76
2020,Zona rural,Felix,4043.0,9.59
2020,Zona rural,Fines,4044.0,12.88
2020,Zona rural,Fiñana,4045.0,4.39
2020,Zona rural,Fondón,4046.0,4.12
2020,Zona rural,Gádor,4047.0,9.95
2020,Zona rural,"Gallardos, Los",4048.0,37.7
2020,Zona de densidad intermedia,Garrucha,4049.0,24.26
2020,Zona rural,Gérgal,4050.0,20.56
2020,Zona rural,Huécija,4051.0,3.29
2020,Ciudades,Huércal de Almería,4052.0,3.04
2020,Zona de densidad intermedia,Huércal-Overa,4053.0,19.24
2020,Zona rural,Íllar,4054.0,5.19
2020,Zona rural,Instinción,4055.0,9.15
2020,Zona rural,Laroya,4056.0,6.57
2020,Zona rural,Láujar de Andarax,4057.0,2.95
2020,Zona rural,Líjar,4058.0,5.33
2020,Zona rural,Lubrín,4059.0,25.12
2020,Zona rural,Lucainena de las Torres,4060.0,17.55
2020,Zona rural,Lúcar,4061.0,7.5
2020,Zona de densidad intermedia,Macael,4062.0,4.29
