Year,Municipio,Nacionalidad,GeoCode,Value
2020,,,,8.29
2020,,UE15,,2.16
2020,,Magreb,,1.9
2020,,América del Sur,,1.13
2020,,Otras,,3.11
2020,Abla,,A04001,9.94
2020,Abrucena,,A04002,8.28
2020,Adra,,A04003,14.28
2020,Albanchez,,A04004,34.06
2020,Alboloduy,,A04005,3.78
2020,Albox,,A04006,27.55
2020,Alcolea,,A04007,2.61
2020,Alcóntar,,A04008,7.59
2020,Alcudia de Monteagud,,A04009,7.97
2020,Alhabia,,A04010,3.4
2020,Alhama de Almería,,A04011,9.1
2020,Alicún,,A04012,1.0
2020,Almería,,A04013,11.6
2020,Almócita,,A04014,8.52
2020,Alsodux,,A04015,6.4
2020,Antas,,A04016,21.99
2020,Arboleas,,A04017,66.98
2020,Armuña de Almanzora,,A04018,5.67
2020,Bacares,,A04019,2.0
2020,Bayárcal,,A04020,3.21
2020,Bayarque,,A04021,9.72
2020,Bédar,,A04022,58.74
2020,Beires,,A04023,0.83
2020,Benahadux,,A04024,5.27
2020,Benitagla,,A04026,1.72
2020,Benizalón,,A04027,15.27
2020,Bentarique,,A04028,2.5
2020,Berja,,A04029,13.17
2020,Canjáyar,,A04030,3.7
2020,Cantoria,,A04031,23.57
2020,Carboneras,,A04032,12.83
2020,Castro de Filabres,,A04033,3.33
2020,Cóbdar,,A04034,4.49
2020,Cuevas del Almanzora,,A04035,26.66
2020,Chercos,,A04036,8.39
2020,Chirivel,,A04037,9.47
2020,Dalías,,A04038,7.33
2020,Enix,,A04041,22.76
2020,Felix,,A04043,9.59
2020,Fines,,A04044,12.88
2020,Fiñana,,A04045,4.39
2020,Fondón,,A04046,4.12
2020,Gádor,,A04047,9.95
2020,"Gallardos, Los",,A04048,37.7
2020,Garrucha,,A04049,24.26
2020,Gérgal,,A04050,20.56
2020,Huécija,,A04051,3.29
2020,Huércal de Almería,,A04052,3.04
2020,Huércal-Overa,,A04053,19.24
2020,Íllar,,A04054,5.19
2020,Instinción,,A04055,9.15
2020,Laroya,,A04056,6.57
2020,Láujar de Andarax,,A04057,2.95
2020,Líjar,,A04058,5.33
2020,Lubrín,,A04059,25.12
2020,Lucainena de las Torres,,A04060,17.55
2020,Lúcar,,A04061,7.5
2020,Macael,,A04062,4.29
2020,María,,A04063,5.85
2020,Mojácar,,A04064,47.86
2020,Nacimiento,,A04065,21.57
