Year,Nacionalidad,Grado urbanización,Municipio,GeoCode,Value
2020,UE15,Ciudades,,,1.77
2020,UE15,Zona de densidad intermedia,,,2.15
2020,UE15,Zona rural,,,3.83
2020,UE15,,,,2.16
2020,Magreb,Ciudades,,,1.53
2020,Magreb,Zona de densidad intermedia,,,2.46
2020,Magreb,Zona rural,,,1.51
2020,Magreb,,,,1.9
2020,América del Sur,Ciudades,,,1.33
2020,América del Sur,Zona de densidad intermedia,,,1.05
2020,América del Sur,Zona rural,,,0.55
2020,América del Sur,,,,1.13
2020,Otras,Ciudades,,,2.76
2020,Otras,Zona de densidad intermedia,,,3.76
2020,Otras,Zona rural,,,2.31
2020,Otras,,,,3.11
2020,UE15,Zona rural,Abla,A04001,0.16
2020,UE15,Zona rural,Abrucena,A04002,0.17
2020,UE15,Zona de densidad intermedia,Adra,A04003,0.43
2020,UE15,Zona rural,Albanchez,A04004,32.9
2020,UE15,Zona rural,Alboloduy,A04005,0.33
2020,UE15,Zona de densidad intermedia,Albox,A04006,12.48
2020,UE15,Zona rural,Alcolea,A04007,0.83
2020,UE15,Zona rural,Alcóntar,A04008,3.31
2020,UE15,Zona rural,Alcudia de Monteagud,A04009,7.97
2020,UE15,Zona rural,Alhabia,A04010,1.18
2020,UE15,Zona rural,Alhama de Almería,A04011,0.84
2020,UE15,Zona rural,Alicún,A04012,1.0
2020,UE15,Ciudades,Almería,A04013,0.6
2020,UE15,Zona rural,Almócita,A04014,2.84
2020,UE15,Zona rural,Alsodux,A04015,4.0
2020,UE15,Zona rural,Antas,A04016,6.24
2020,UE15,Zona rural,Arboleas,A04017,62.2
2020,UE15,Zona rural,Armuña de Almanzora,A04018,3.67
2020,UE15,Zona rural,Bacares,A04019,0.4
2020,UE15,Zona rural,Bayárcal,A04020,0.0
2020,UE15,Zona rural,Bayarque,A04021,4.17
2020,UE15,Zona rural,Bédar,A04022,53.05
2020,UE15,Zona rural,Beires,A04023,0.0
2020,UE15,Zona de densidad intermedia,Benahadux,A04024,0.49
2020,UE15,Zona rural,Benitagla,A04026,0.0
2020,UE15,Zona rural,Benizalón,A04027,8.78
2020,UE15,Zona rural,Bentarique,A04028,2.08
2020,UE15,Zona de densidad intermedia,Berja,A04029,0.96
2020,UE15,Zona rural,Canjáyar,A04030,0.67
2020,UE15,Zona rural,Cantoria,A04031,19.55
2020,UE15,Zona de densidad intermedia,Carboneras,A04032,2.71
2020,UE15,Zona rural,Castro de Filabres,A04033,0.0
2020,UE15,Zona rural,Cóbdar,A04034,2.81
2020,UE15,Zona de densidad intermedia,Cuevas del Almanzora,A04035,5.52
2020,UE15,Zona rural,Chercos,A04036,5.7
2020,UE15,Zona rural,Chirivel,A04037,4.7
2020,UE15,Zona rural,Dalías,A04038,0.34
2020,UE15,Zona rural,Enix,A04041,16.54
2020,UE15,Zona rural,Felix,A04043,6.6
2020,UE15,Zona rural,Fines,A04044,0.52
2020,UE15,Zona rural,Fiñana,A04045,0.3
2020,UE15,Zona rural,Fondón,A04046,1.51
2020,UE15,Zona rural,Gádor,A04047,1.19
2020,UE15,Zona rural,"Gallardos, Los",A04048,28.64
2020,UE15,Zona de densidad intermedia,Garrucha,A04049,2.41
2020,UE15,Zona rural,Gérgal,A04050,1.11
2020,UE15,Zona rural,Huécija,A04051,0.82
2020,UE15,Ciudades,Huércal de Almería,A04052,0.38
2020,UE15,Zona de densidad intermedia,Huércal-Overa,A04053,5.64
2020,UE15,Zona rural,Íllar,A04054,2.22
2020,UE15,Zona rural,Instinción,A04055,2.23
2020,UE15,Zona rural,Laroya,A04056,3.54
2020,UE15,Zona rural,Láujar de Andarax,A04057,0.52
2020,UE15,Zona rural,Líjar,A04058,4.06
2020,UE15,Zona rural,Lubrín,A04059,16.01
